id	name	gender	age
a-c-bradley	A.C. Bradley	female	38
aaron-taylor-johnson	Aaron Taylor Johnson	male	37
ace-hicks	Ace Hicks	female	22
adam-driver	Adam Driver	male	33
adam-henderson	Adam Henderson	male	51
adam-rothenberg	Adam Rothenberg	male	34
adam-sandler	Adam Sandler	male	59
adam-stein	Adam Stein	male	43
adele	Adele	female	32
adrian-g-griffiths	Adrian G. Griffiths	male	36
adrian-holmes	Adrian Holmes	male	38
adrian-petriw	Adrian Petriw	male	26
adriana-lima	Adriana Lima	female	32
agam-darshi	Agam Darshi	female	28
agatha-warren	Agatha Warren	female	18
aisha-hinds	Aisha Hinds	female	27
aishwarya-rai	Aishwarya Rai	female	31
ajay-fry	Ajay Fry	male	32
akintola-jiboyewa	Akintola Jiboyewa	male	31
al-pacino	Al Pacino	male	74
al-sapienza	Al Sapienza	male	53
al-vicente	Al Vicente	male	38
alec-burden	Alec Burden	male	44
alex-dafoe	Alex Dafoe	male	40
alex-heymann	Alex Heymann	male	47
alex-kingston	Alex Kingston	female	41
alex-rose	Alex Rose	male	32
alex-zahara	Alex Zahara	male	52
alexander-koch	Alexander Koch	male	22
alexander-skarsgard	Alexander Skarsgård	male	39
alexandra-daddario	Alexandra Daddario	female	23
alfredo-narciso	Alfredo Narciso	male	38
ali-wong	Ali Wong	female	45
alia-bhatt	Alia Bhatt	female	27
alicia-vikander	Alicia Vikander	female	32
allison-riley	Allison Riley	female	23
allu-arjun	Allu Arjun	male	42
almeria-campbell	Almeria Campbell	female	25
altair-vincent	Altair Vincent	male	31
alyshia-ochse	Alyshia Ochse	female	28
alyson-bath	Alyson Bath	female	24
amanda-lisman	Amanda Lisman	female	30
amber-carollo	Amber Carollo	female	35
amy-acker	Amy Acker	female	34
amy-adams	Amy Adams	female	51
amy-berg	Amy Berg	female	25
ana-de-armas	Ana de Armas	female	35
ana-mercedes	Ana Mercedes	female	49
andrea-frankle	Andrea Frankle	female	42
andrei-kovski	Andrei Kovski	male	36
andrew-dunbar	Andrew Dunbar	male	26
andrew-garfield	Andrew Garfield	male	30
andrew-hedge	Andrew Hedge	male	39
andrew-kreisberg	Andrew Kreisberg	male	34
andrew-moodie	Andrew Moodie	male	36
andrew-scott	Andrew Scott	male	38
andrew-stewart-jones	Andrew Stewart-Jones	male	44
andrew-vogel	Andrew Vogel	male	25
andy-mikita	Andy Mikita	male	55
andy-thompson	Andy Thompson	male	40
angela-bassett	Angela Bassett	female	40
angelina-jolie	Angelina Jolie	female	43
anitta	Anitta	female	31
anna-hopkins	Anna Hopkins	female	21
anna-sawai	Anna Sawai	female	27
anna-sharma	Anna Sharma	female	50
anna-van-hooft	Anna Van Hooft	female	22
annabel-kershaw	Annabel Kershaw	female	32
anne-hathaway	Anne Hathaway	female	41
annie-ilonzeh	Annie Ilonzeh	female	24
ansel-elgort	Ansel Elgort	male	23
anthony-hopkins	Anthony Hopkins	male	75
anthony-mackie	Anthony Mackie	male	51
anthony-mangano	Anthony Mangano	male	40
antonio-banderas	Antonio Banderas	male	56
anushka-sharma	Anushka Sharma	female	36
anya-taylor-joy	Anya Taylor-Joy	female	29
ariana-grande	Ariana Grande	female	26
arianne-martin	Arianne Martin	female	26
artin-john	Artin John	male	25
artine-brown	Artine Brown	male	48
ash-lee	Ash Lee	male	27
ashleigh-rains	Ashleigh Rains	female	33
ashley-gable	Ashley Gable	female	50
ashley-marie-macdonald	Ashley Marie Macdonald	female	28
audrey-marie-anderson	Audrey Marie Anderson	female	24
austin-butler	Austin Butler	male	28
awkwafina	Awkwafina	female	31
babak-a-motamed	Babak A. Motamed	male	35
bad-bunny	Bad Bunny	male	35
barack-obama	Barack Obama	male	51
barbara-patrick	Barbara Patrick	female	62
barry-keoghan	Barry Keoghan	male	31
barry-nerling	Barry Nerling	male	51
bella-hadid	Bella Hadid	female	26
bella-ramsey	Bella Ramsey	female	20
ben-affleck	Ben Affleck	male	44
ben-browder	Ben Browder	male	41
ben-cotton	Ben Cotton	male	46
ben-wilkinson	Ben Wilkinson	male	41
benedict-cumberbatch	Benedict Cumberbatch	male	46
benjamin-ayres	Benjamin Ayres	male	42
beth-broderick	Beth Broderick	female	57
beth-schwartz	Beth Schwartz	female	35
bethany-rooney	Bethany Rooney	female	49
bex-taylor-klaus	Bex Taylor-Klaus	female	21
beyonce	Beyoncé	female	36
bill-croft	Bill Croft	male	61
bill-eudaly	Bill Eudaly	male	57
bill-gates	Bill Gates	male	75
bill-skarsgard	Bill Skarsgård	male	24
billie-eilish	Billie Eilish	female	22
blake-lively	Blake Lively	female	32
bombyx-du-murier	Bombyx Du Murier	male	35
brad-carter	Brad Carter	male	46
brad-pitt	Brad Pitt	male	53
brad-turner	Brad Turner	male	65
bradley-cooper	Bradley Cooper	male	50
brandon-routh	Brandon Routh	male	26
bree-williamson	Bree Williamson	female	31
brenda-matthews	Brenda Matthews	female	60
brendan-fraser	Brendan Fraser	male	55
brendan-titley	Brendan Titley	male	35
brendon-halcrow	Brendon Halcrow	male	29
brent-mclaren	Brent McLaren	male	31
brett-cullen	Brett Cullen	male	49
brian-d-arcy-james	Brian d'Arcy James	male	37
brian-jagersky	Brian Jagersky	male	44
brian-k-vaughan	Brian K. Vaughan	male	44
brian-markinson	Brian Markinson	male	59
briana-buckmaster	Briana Buckmaster	female	29
brie-larson	Brie Larson	female	27
brina-romanek	Brina Romanek	female	18
britney-spears	Britney Spears	female	34
britt-robertson	Britt Robertson	female	25
broadus-mattison	Broadus Mattison	male	36
brock-johnson	Brock Johnson	male	51
bruce-dawson	Bruce Dawson	male	57
bruce-macvittie	Bruce MacVittie	male	48
bruno-mars	Bruno Mars	male	18
bryan-burk	Bryan Burk	male	46
byron-mann	Byron Mann	male	39
byron-noble	Byron Noble	male	38
caity-lotz	Caity Lotz	female	24
callie-seagram-airlie	Callie Seagram Airlie	male	18
cara-delevingne	Cara Delevingne	female	24
cardi-b	Cardi B	female	24
carl-ogawa	Carl Ogawa	male	43
carlos-vald-s	Carlos Valdés	male	20
cary-joji-fukunaga	Cary Joji Fukunaga	male	38
cassandra-ebner	Cassandra Ebner	female	20
cate-blanchett	Cate Blanchett	female	48
cathryn-humphris	Cathryn Humphris	female	40
celia-weston	Celia Weston	female	53
celina-jade	Celina Jade	female	25
cha-eun-woo	Cha Eun-woo	male	27
chad-riley	Chad Riley	male	39
chadwick-boseman	Chadwick Boseman	male	31
channing-tatum	Channing Tatum	male	47
chantele-francis	Chantele Francis	female	21
chantelle-mussenden	Chantelle Mussenden	female	18
charleigh-harmon	Charleigh Harmon	female	25
charles-beeson	Charles Beeson	male	55
charles-borland	Charles Borland	male	37
charles-halford	Charles Halford	male	41
charley-vance	Charley Vance	male	63
charlie-moss	Charlie Moss	male	51
charlize-theron	Charlize Theron	female	51
charlon-turner	Charlon Turner	female	45
chelah-horsdal	Chelah Horsdal	female	31
chin-han	Chin Han	male	27
chloe-grace-moretz	Chloë Grace Moretz	female	31
chris-chalk	Chris Chalk	male	37
chris-evans	Chris Evans	male	50
chris-fisher	Chris Fisher	male	22
chris-hemsworth	Chris Hemsworth	male	47
chris-nowland	Chris Nowland	male	51
chris-pine	Chris Pine	male	51
chris-pratt	Chris Pratt	male	45
chris-ratz	Chris Ratz	male	24
chris-violette	Chris Violette	male	29
christian-bale	Christian Bale	male	47
christian-sloan	Christian Sloan	male	28
christie-laing	Christie Laing	female	25
christopher-berry	Christopher Berry	male	38
christopher-pearce	Christopher Pearce	male	39
christopher-redman	Christopher Redman	male	35
cillian-murphy	Cillian Murphy	male	46
cl-bennett	Clé Bennett	male	31
claire-lindsay	Claire Lindsay	female	32
clarke-peters	Clarke Peters	male	60
claude-duhamel	Claude Duhamel	male	34
cole-sprouse	Cole Sprouse	male	34
colin-corrigan	Colin Corrigan	male	39
colin-donnell	Colin Donnell	male	33
colin-farrell	Colin Farrell	male	42
colin-firth	Colin Firth	male	64
colin-ford	Colin Ford	male	31
colin-lawrence	Colin Lawrence	male	31
colin-salmon	Colin Salmon	male	45
colman-domingo	Colman Domingo	male	54
colton-haynes	Colton Haynes	male	22
conor-romero	Conor Romero	male	31
corey-lof	Corey Lof	male	18
craig-blair	Craig Blair	male	33
craig-march	Craig March	male	53
cristiano-ronaldo	Cristiano Ronaldo	male	35
crystal-martinez	Crystal Martinez	female	27
currie-graham	Currie Graham	male	43
curtis-braconnier	Curtis Braconnier	male	20
curtis-caravaggio	Curtis Caravaggio	male	39
cynthia-addai-robinson	Cynthia Addai Robinson	female	24
daegan-fryklind	Daegan Fryklind	female	32
daesha-danielle-usman	Daesha Danielle Usman	female	21
dakota-johnson	Dakota Johnson	female	29
dale-raoul	Dale Raoul	female	65
dalias-blake	Dalias Blake	male	32
dan-pelchat	Dan Pelchat	male	33
dan-petronijevic	Dan Petronijevic	male	38
dana-gourrier	Dana Gourrier	female	18
dane-northcutt	Dane Northcutt	male	35
dane-rhodes	Dane Rhodes	male	48
daniel-bacon	Daniel Bacon	male	39
daniel-craig	Daniel Craig	male	58
daniel-kaluuya	Daniel Kaluuya	male	32
daniel-martin	Daniel Martin	male	32
daniel-quinn	Daniel Quinn	male	46
daniel-radcliffe	Daniel Radcliffe	male	35
daniel-truly	Daniel Truly	male	53
danielle-panabaker	Danielle Panabaker	female	32
danny-dworkis	Danny Dworkis	male	45
danny-mastrogiorgio	Danny Mastrogiorgio	male	44
danny-nucci	Danny Nucci	male	38
darcy-laurie	Darcy Laurie	male	48
darren-dolynski	Darren Dolynski	male	50
darren-shahlavi	Darren Shahlavi	male	41
darryl-booker	Darryl Booker	male	51
darryl-frank	Darryl Frank	male	44
darryl-quon	Darryl Quon	male	33
dave-blamy	Dave Blamy	male	42
davi-jay	Davi Jay	male	41
david-alexander-miller	David Alexander Miller	male	38
david-anders	David Anders	male	46
david-beckham	David Beckham	male	38
david-franco	David Franco	male	48
david-grossman	David Grossman	male	63
david-lyle	David Lyle	male	52
david-m-smith	David M. Smith	male	56
david-milchard	David Milchard	male	36
david-nutter	David Nutter	male	41
david-nykl	David Nykl	male	54
david-quinlan	David Quinlan	male	32
david-ramsey	David Ramsey	male	38
david-semel	David Semel	male	43
david-slack	David Slack	male	34
daylin-willis	Daylin Willis	male	30
dean-norris	Dean Norris	male	56
dean-paul-gibson	Dean Paul Gibson	male	47
dean-redman	Dean Redman	male	28
deborah-childs	Deborah Childs	female	51
deepika-padukone	Deepika Padukone	female	27
denis-mcgrath	Denis McGrath	male	37
denise-th	Denise Thé	female	49
denzel-washington	Denzel Washington	male	62
derek-green	Derek Green	male	53
derek-hamilton	Derek Hamilton	male	36
desiree-zurowski	Desiree Zurowski	female	56
dev-patel	Dev Patel	male	33
dexter-bell	Dexter Bell	male	29
dhanush	Dhanush	male	41
diego-luna	Diego Luna	male	44
doja-cat	Doja Cat	female	20
don-yesso	Don Yesso	male	65
donald-glover	Donald Glover	male	33
donavin-kuhl	Donavin Kuhl	male	27
donnie-yen	Donnie Yen	male	48
donny-lucas	Donny Lucas	male	45
doug-chapman	Doug Chapman	male	46
